time,Lat,Lon,mslp,vort850,phase,symbol,color
202402142100,-24.75,-43.75,1013.114,-12.007698161458832,Incipient,s,#65a1e6
202402150000,-24.5,-43.0,1014.689,-8.810865969328097,Incipient,s,#65a1e6
202402150300,-24.0,-42.25,1013.954,-11.11278305914112,Incipient,s,#65a1e6
202402150600,-24.5,-41.0,1012.289,-8.107727906307964,Incipient,s,#65a1e6
202402150900,-24.75,-42.5,1012.602,-12.31844710509814,Incipient,s,#65a1e6
202402151200,-25.0,-40.5,1013.302,-10.257230491840849,Incipient,s,#65a1e6
202402151500,-25.25,-40.0,1013.774,-11.031969956006748,Incipient,s,#65a1e6
202402151800,-25.0,-40.25,1012.444,-11.369041281781143,Incipient,s,#65a1e6
202402152100,-25.5,-40.25,1012.336,-10.181719421709207,Incipient,s,#65a1e6
202402160000,-24.75,-40.75,1012.891,-11.097969901233244,Incipient,s,#65a1e6
202402160300,-24.75,-40.75,1012.339,-9.60456883558901,Incipient,s,#65a1e6
202402160600,-24.5,-40.75,1010.706,-10.237947142431988,Incipient,s,#65a1e6
202402160900,-24.75,-40.5,1011.168,-10.470028685737844,Intensification,o,#f7b538
202402161200,-24.0,-39.75,1012.814,-12.744257125181392,Intensification,o,#f7b538
202402161500,-24.75,-39.0,1012.237,-18.10236765423593,Intensification,o,#f7b538
202402161800,-25.0,-39.0,1010.334,-33.61801014482724,Intensification,o,#f7b538
202402162100,-25.0,-39.25,1009.375,-24.92604674050972,Intensification,o,#f7b538
202402170000,-24.5,-39.5,1010.596,-22.197148267483534,Intensification,o,#f7b538
202402170300,-24.5,-39.5,1009.066,-21.839922723210133,Intensification,o,#f7b538
202402170600,-24.5,-39.5,1007.588,-22.7919938763532,Intensification,o,#f7b538
202402170900,-25.0,-39.25,1007.969,-25.061378024124053,Intensification,o,#f7b538
202402171200,-25.0,-39.5,1008.641,-25.32376363286804,Intensification,o,#f7b538
202402171500,-25.0,-39.25,1007.874,-24.144737857333716,Intensification,o,#f7b538
202402171800,-25.0,-39.25,1006.589,-25.425149412194592,Intensification,o,#f7b538
202402172100,-25.0,-39.25,1005.636,-24.39737780215057,Intensification,o,#f7b538
202402180000,-25.25,-39.25,1006.029,-24.62084471064204,Intensification,o,#f7b538
202402180300,-25.5,-39.5,1005.081,-23.63327702455577,Intensification,o,#f7b538
202402180600,-26.0,-39.5,1003.755,-21.345411467085672,Intensification,o,#f7b538
202402180900,-26.25,-39.75,1004.256,-21.661947373167543,Intensification,o,#f7b538
202402181200,-26.75,-39.75,1004.843,-23.211898819139154,Intensification,o,#f7b538
202402181500,-27.5,-40.0,1004.399,-29.09606154694169,Intensification,o,#f7b538
202402181800,-27.75,-40.75,1002.407,-27.164369839308183,Intensification,o,#f7b538
202402182100,-28.25,-41.0,1001.461,-25.28420074018928,Intensification,o,#f7b538
202402190000,-28.75,-41.5,1000.344,-31.566587152783114,Intensification,o,#f7b538
202402190300,-29.0,-42.0,999.578,-30.580628861187023,Intensification,o,#f7b538
202402190600,-29.5,-42.25,997.939,-31.95045367436269,Intensification,o,#f7b538
202402190900,-30.0,-42.25,998.302,-34.92843156570534,Intensification,o,#f7b538
202402191200,-30.25,-42.0,995.999,-45.91408488933831,Intensification,o,#f7b538
202402191500,-31.0,-42.0,995.739,-42.121534066898434,Mature,^,#d62828
202402191800,-31.5,-42.0,995.062,-45.797141635352745,Mature,^,#d62828
202402192100,-31.75,-42.0,994.527,-55.01392889653162,Mature,^,#d62828
202402200000,-31.75,-42.25,994.609,-48.21405801459664,Mature,^,#d62828
202402200300,-32.0,-42.25,994.489,-44.23899712173159,Mature,^,#d62828
202402200600,-32.25,-42.0,993.699,-40.2087584372506,Decay,d,#9aa981
202402200900,-32.25,-41.75,994.838,-37.56236259750047,Decay,d,#9aa981
202402201200,-32.25,-42.0,996.357,-38.26908238476386,Decay,d,#9aa981
202402201500,-32.25,-41.75,997.254,-36.65408682449488,Decay,d,#9aa981
202402201800,-32.25,-41.5,997.049,-35.97163173163594,Decay,d,#9aa981
202402202100,-32.0,-41.5,998.029,-34.45973678227495,Decay,d,#9aa981
202402210000,-32.25,-41.5,1000.325,-35.789797869205266,Decay,d,#9aa981
202402210300,-32.25,-42.0,1001.01,-30.97979177360553,Decay,d,#9aa981
202402210600,-32.25,-42.25,1001.097,-30.0878847589763,Decay,d,#9aa981
202402210900,-32.25,-42.5,1002.379,-27.655721568307143,Decay,d,#9aa981
202402211200,-32.5,-42.25,1003.975,-27.14461366648505,Decay,d,#9aa981
202402211500,-32.75,-42.5,1004.239,-24.855095051677814,Decay,d,#9aa981
202402211800,-32.75,-42.75,1003.657,-23.89592245550037,Decay,d,#9aa981
202402212100,-33.0,-43.25,1003.744,-22.27544265370286,Decay,d,#9aa981
202402220000,-33.0,-43.5,1005.032,-22.063097761521835,Decay,d,#9aa981
202402220300,-33.25,-44.0,1005.649,-19.5384632669975,Decay,d,#9aa981
202402220600,-33.5,-44.0,1004.778,-19.52902377478876,Decay,d,#9aa981
202402220900,-33.75,-44.25,1006.349,-17.52529166620604,Decay,d,#9aa981
202402221200,-33.75,-44.5,1007.467,-15.652152636211488,Decay,d,#9aa981
202402221500,-34.0,-44.5,1007.821,-15.538957468585872,Decay,d,#9aa981
202402221800,-34.25,-44.75,1007.153,-14.960469290237985,Decay,d,#9aa981
202402222100,-34.25,-44.75,1006.812,-14.233535858172242,Decay,d,#9aa981
